EnumType,숫자,사용 상황,사용 이름,비고,적용 여부
None,-1,,,
Global_ButtonClick,0,활성 공용 버튼을 눌렀을 때,SFX_UI_Button_Click_Generic_2,피치 0.7
Global_ButtonHover,1,포인터가 활성 버튼이나 카드에 처음 진입했을 때,SFX_UI_Button_Click_Generic_2,
Global_SceneChangeStart,2,씬 전환 로딩 화면이 열릴 때,SFX_Movement_Swoosh_Slow_1,
Global_SceneChangeEnd,3,로딩 화면이 닫히고 새 씬이 공개될 때,SFX_Movement_Swoosh_Slow_3,
Global_Notification,4,토스트나 새 알림이 표시될 때,SFX_UI_Notification_2,
Global_Error,5,실행 가능한 입력이 조건 부족으로 거절됐을 때,SFX_UI_Button_Click_Generic_Negative_3,
Global_PanelPopup,6,공통 팝업이나 상세 패널이 열릴 때,SFX_UI_Button_Click_Open_1,
Global_PanelClose,7,팝업이나 상세 패널을 닫고 이전 화면으로 돌아갈 때,SFX_UI_Button_Click_Close_1,
Global_Confirm,8,"확인, 저장 초기화 같은 동작이 완료됐을떄",SFX_UI_Button_Click_Select_1,
,,,,
,,,,
Hub_Upgrade,100,"시설,직원,요리,수확능력,스테이지 업그레이드 성공 시",SFX_Powerup_Bright_1,,완료
Hub_Select,101,"시설,직원,요리,수확능력,스테이지 축제 항목을 탐색 선택했을 때",SFX_UI_Button_Click_Generic_2,피치 0.7,완료
Hub_MenuSelect,103,오늘의 메뉴에 요리를 추가했을 때,SFX_UI_Button_Click_Open_3,,완료
Hub_MenuDeselect,104,오늘의 메뉴에서 요리를 제거했을 때,SFX_UI_Button_Click_Open_3,,완료
Hub_GetReward,105,현재 마켓 미션 보상을 수령했을 때,SFX_Player_Collect_Coin_2,,완료
Hub_Rankup,106,마켓 승급이 확정되고 승급 패널이 열릴 때,SFX_Player_Collect_Bright_2,,완료
Hub_FestivalStart,107,맛 또는 카테고리 축제를 실제 시작했을 때,SFX_Player_Collect_Pop_3,,완료
Hub_NextDay,108,밤에서 다음 영업일 아침으로 넘어갈 때,STGR_Success_Calm_1,,완료
,,,,
,,,,
,,,,
,,,,
,,,,
Service_SessionStart,200,영업 시작 카운트다운의 GO 또는 영업 루프 시작 시,SFX_UI_Bonus_Big_1,
Service_SessionEnd,201,영업 시간이 끝나 결과 흐름으로 진입할 때,SFX_UI_Bonus_1,피치 1.2
Service_CustomerAngry,202,주문 제한시간 초과로 고객이 화나서 떠날 때,SFX_Angry02(보류),
Service_CustomerEat,203,고객이 식사하는 동안 한입 연출이 재생될 때,SFX__Eating(보류),
Service_CustomerPay,204,식사 또는 음료 대금이 실제 재화로 지급될 때,SFX_Player_Collect_Coin_1,
Service_ServerVoice,205,서버가 작업을 시작하거나 상황에 반응할 때,SFX_FingerSnap(보류),
Service_ComboSound,206,콤보가 임계치에 도달하여 발동됐을때.,Service_ComboSound,피치3
Service_OrderCreated,207,새 고객의 주문 UI가 나타났을 때,SFX_Pop_Mouth_Med_1,
Service_OrderAccepted,208,주문 접수와 완성 요리 차감이 성공했을 때,SFX_Pop_Mouth_Med_1,피치 0.7
Service_CookQueued,209,조리 요청이 성공해 조리 대기열에 들어갔을 때,SFX_Pop_Mouth_High_1,
Service_CookComplete,210,조리가 끝나 완성 요리가 재고에 추가됐을 때,SFX_Pop_Mouth_High_2,
Service_DishPickup,211,서버가 주방에서 완성 요리를 집었을 때,SFX_Pop_Mouth_High_Sharp_2,
Service_DishServed,212,서버가 고객에게 요리를 전달했을 때,SFX_Pop_Mouth_High_Sharp_2,피치 0.7
Service_TipAdded,213,고객이 팁 박스에 팁을 추가했을 때,SFX_Player_Collect_Coin_1,피치 1.2
Service_TipCollected,214,팁 버튼으로 누적 팁을 회수했을 때,SFX_Player_Collect_Coin_1,
Service_ComboBreak,215,제한시간 초과나 먹튀 성공으로 콤보가 끊겼을 때,SFX_UI_Button_Click_Generic_Negative_1,
Service_NegativeEventStart,216,"먹튀, 테이블 오염, 서버 수면 등 부정 이벤트가 발생했을 때",SFX_UI_Button_Click_Generic_Negative_3,
Service_NegativeEventSelect,217,해결할 부정 이벤트를 선택했을 때,SFX_Pop_Mouth_Low_1,
Service_NegativeEventResolve,218,선택한 부정 이벤트를 해결했을 때,SFX_UI_Button_Click_Generic_Negative_3,피치 1.2
Service_DrinkServed,220,고객이 음료를 소비하고 음료 매출이 발생했을 때,SFX_Player_Collect_Coin_1,
Service_DrinkRefill,221,음료 리필 게이지가 가득 차 보충이 완료됐을 때,SFX_Pop_Mouth_Low_1,
Service_Acceleration,222,남은 횟수를 소비해 영업 가속이 실제 발동했을 때,SFX_Movement_Swoosh_Med_1,피치 1.5
,,,,
,,,,
,,,,
,,,,
,,,,
Harvest_SessionStart,300,수확 시작 카운트다운의 GO 또는 수확 루프 시작 시,SFX_UI_Bonus_Big_1,
Harvest_SessionEnd,301,수확 시간이나 연료가 끝나 조작이 종료될 때,SFX_UI_Bonus_1,피치 1.2
